profileUrl,First Name,timestamp,postUrl,imgUrl,type,postContent,Themes,Subthemes,Content Format,Created/Cultivated/Curated,First Name (from First Name),Last Name (from First Name),Company (from First Name),Industry (from First Name),Title (from First Name),likeCount,commentCount,repostCount,postDate,commentContent,commentUrl,sharedPostUrl,action,Action Type,viewCount,postTimestamp,Date of Post,Weekday,Day of the Week,Time of Post,videoUrl,sharedJobUrl,articleTitle,articleSubtitle,articleReadingDuration,articleCoverUrl,eventUrl,eventTitle,3/23-4/23?,Thought Leadership?,Total Engagements,Post vs Engagements,Hour of Post,Month of Post,4/23-5/23
https://www.linkedin.com/in/muratgen/,https://www.linkedin.com/in/muratgen/,2024-04-24 16:50,https://www.linkedin.com/feed/update/urn:li:activity:7179589749601435651,,Text,Congratulations to the Arpalus Team.  Their innovative solutions are transforming in store success for CPGs and Retailers. https://www.arpalus.com/,Innovation,,post,,Murat,Genc,Whirlpool,Consumer & Industrial Products,"
Global Technology, Data & Digital Officer",9,0,0,3w,,,https://www.linkedin.com/feed/update/urn:li:activity:7179500552865619969/,Murat Genc likes this,Likes,,2024-03-29 21:26,3/29/2024,Friday,Friday,9:26 PM,,,,,,,,,checked,,9,Engagement,9pm-10pm,March 2024,
https://www.linkedin.com/in/muratgen/,https://www.linkedin.com/in/muratgen/,2024-04-24 16:50,https://www.linkedin.com/feed/update/urn:li:activity:7179588712270352385,https://media.licdn.com/dms/image/C4D22AQFmDQ_-zn6_4Q/feedshare-shrink_800/0/1642340647949?e=1717027200&v=beta&t=PnID_5p8v7DCXpTIXTZ5lQJ70kdXVsv1GK6rn8nZ7bA,Image,"As part of our change of name this week to The Brandtech Group I wrote some thoughts on the future of marketing, the metaverse, Web 3 and purpose ""The Metaverse Is A Giant Overhyped Nothing Burger With No Future"" (you can probably guess that's not what I think) Would love your thoughts and comments ...#future #metaverse #web3 #brandtech #purpose #marketing #technology #digital #brand https://lnkd.in/d7zkbDig","Digital Transformation,Innovation",,Illustration,,Murat,Genc,Whirlpool,Consumer & Industrial Products,"
Global Technology, Data & Digital Officer",193,13,34,2yr,,,,Murat Genc likes this,Likes,,2024-03-29 21:22,3/29/2024,Friday,Friday,9:22 PM,,,,,,,,,checked,,240,Engagement,9pm-10pm,March 2024,
https://www.linkedin.com/in/iajaysoni/,https://www.linkedin.com/in/iajaysoni/,2024-04-24 14:38,https://www.linkedin.com/feed/update/urn:li:activity:7179833169880178688,https://media.licdn.com/dms/image/D4D22AQFBDReWTj9jSA/feedshare-shrink_800/0/1711797138703?e=1717027200&v=beta&t=ENmo5soFTV8LssyVeSbcbM6wgPAmzWfgcw5nro8qrcQ,Image,"¯ Ever needed to use E57 data in your three.js project? We encountered this requirement and took it as an opportunity to develop a parser capable of extracting point cloud data from #E57. Today, we are thrilled to announce that our parser is now publicly available on #npmjs. This opens up new possibilities for the #three.js #community, as developers can now easily integrate E57 data into their projects. For more information, please refer to the three-e57-loader on npmjs https://lnkd.in/dUhBfvcv“ For those unfamiliar with E57, it's a compact, #vendor-neutral file format that is widely used in the 3D #imaging industry for storing point clouds, images, and metadata produced by 3D imaging systems, such as laser scanners. This makes it a crucial tool for many applications, including 3D modeling, virtual reality, and more. With our new parser, working with E57 data in three.js has never been easier.We hope you find it useful for your projects. “ Reach out to us to learn more about how Prolincur can help you in your 3D journey. Visit our website https://prolincur.com, give us a call, or send us an email. Let us take your ideas to new heights.#threejs #e57 #laser #scanner #imaging #pointcloud #e57 #prolincur #innovation #threee57loader #loader #lib57 #parser #technology #digitaltwins #iiot #Innovation #simulation #aec #architecture #manufacturingengineer #industrialengineering #softwaredevelopers #applicationdeveloper #productdesign #marketing #digital #smartfactory #industry40 #digitaltransformation #industrycloud #dataanalytics #controlsystems #unleashthepowerof3d #3dmodeling #3dvisualization #threejs #dataengineering #freshers #webgl","Data and Analytics,Innovation,Digital Transformation",,Personal/Public Pictures,,Ajay,Soni,Citi,Banking,SVP of Technology,17,1,5,3w,,,,Ajay Soni celebrates this,Reaction,,2024-03-30 13:33,3/30/2024,Saturday,Saturday,1:33 PM,,,,,,,,,checked,,23,Engagement,1pm-2pm,March 2024,
https://www.linkedin.com/in/joshua-osborne-b83486166/,https://www.linkedin.com/in/joshua-osborne-b83486166/,2024-04-24 15:45,https://www.linkedin.com/feed/update/urn:li:activity:7179854248896081920,,Text,This week at Zions Bancorp we held a 4-day hackathon to drive innovation across the Enterprise.  I was able to work with the Treasury Management Operations and Call Center teams as well as some incredibly smart engineers and admins on my team on an idea to enhance our customer service experience.  In just four days we built several integrations to automate customer authentication to prevent fraud and improve visibility of data inside of Salesforce to ensure our customer service team has the information they need to help our customers.  We also had an opportunity to use the power of AI to analyze calls.  I was so excited and proud that my team was picked as one of the top 5 in the Hackathon!  What a fun way to build relationships across teams and provide an opportunity for innovation!,"Innovation,AI/Machine Learning",events/podiums/conferences,"post,webinar/webcast/event",,Josh,Osbourne,Zions,Banking,SVP Business Payments and Technology at Zions Bank,57,3,1,1mo,,,,Joshua Osborne likes this,Likes,,2024-03-30 14:57,3/30/2024,Saturday,Saturday,2:57 PM,,,,,,,,,checked,,61,Engagement,2pm-3pm,March 2024,
https://linkedin.com/in/beverly-steele-72a8173/,https://linkedin.com/in/beverly-steele-72a8173/,2024-04-24 15:37,https://www.linkedin.com/feed/update/urn:li:activity:7179698679384092672,https://media.licdn.com/dms/image/D5610AQGZas-uPTdP4w/image-shrink_800/0/1711638017557?e=1714579200&v=beta&t=GXaaMNXszysgRG6DjxfI8-aFh-Bsp-7wDVyL24ezN7w,Image,"Today is the day! Our own Jamie Walker, Nicole Schrader Tackett, and Mia Huntington are speaking at the 2024 American Banker Payments Forum. Join the panel discussion to hear how payments technology is evolving in the healthcare, restaurant, and airline industries.https://bit.ly/49eXY5y","Organizational Change Management,Innovation",events/podiums/conferences,"infographic,webinar/webcast/event",,Beverly,Steele,U.S. Bank,Banking,"SVP, Operations Digital & CX Leader ",235,1,5,3w,,,,Beverly Steele likes this,Likes,,2024-03-30 04:39,3/30/2024,Saturday,Saturday,4:39 AM,,,,,,,,,checked,,241,Engagement,4am-5am,March 2024,
https://www.linkedin.com/in/yar-savchenko-6a973723/,https://www.linkedin.com/in/yar-savchenko-6a973723/,2024-04-24 14:48,https://www.linkedin.com/feed/update/urn:li:activity:7179835678262788096,https://media.licdn.com/dms/image/sync/D4E27AQFaXxmG8vCpug/articleshare-shrink_1280_800/0/1711936124776?e=1714575600&v=beta&t=rAz4H5CN--0vWH4i0MhBnVcLbO_wiBZWNIG6cJ5Yc6w,Article,Comerica's Frisco Business and Innovation Hub is officially open!,Innovation,,article/blog/company website/press release,,Yar,Savchenko,Comerica Bank,Banking,Senior Vice President of Infrastructure,31,0,0,3w,,,https://dallasinnovates.com/comerica-bank-opens-new-frisco-business-innovation-hub/,Yar Savchenko likes this,Likes,,2024-03-30 13:43,3/30/2024,Saturday,Saturday,1:43 PM,,,,,,,,,checked,,31,Engagement,1pm-2pm,March 2024,
https://www.linkedin.com/in/senuta/,https://www.linkedin.com/in/senuta/,2024-04-24 15:35,https://www.linkedin.com/feed/update/urn:li:activity:7180513992413454337,https://media.licdn.com/dms/image/D4E22AQHGGg7sbyW8og/feedshare-shrink_800/0/1711374424407?e=1717027200&v=beta&t=BPC5ZWvNpfixhgz68trtOfh4d5dxGXMn_vx7dDN9KyU,Image," Reflecting on an electrifying journey at Truist's Immersive Learning Event!  It's been an honor to be part of this transformative experience alongside some of the brightest minds from UNC Charlotte and industry leaders like Truist, Amazon Web Services (AWS), Verizon, IHG Hotels & Resorts, University of North Carolina at Charlotte and Wicket. Together, we embarked on a two-day immersive dive into the world of payments, innovation, and collaboration.’¡ The hands-on learning experience pushed boundaries and sparked creativity, as we tackled real-world challenges faced by financial services companies. From brainstorming sessions to presentations, every moment was filled with learning and growth. Special shoutout to Team Orange for their outstanding work and to all the teams whose dedication and talent made this event truly remarkable. Your professionalism and passion are truly inspiring!‘ Huge thanks to Kourtney S. Peterson, MPA and the entire Truist team for orchestrating such an incredible event. Your guidance and support paved the way for an unforgettable experience.‘©’¼ I want to express my sincere gratitude to Shannon Vanderhill, MFA , Spencer Hawkins, Brandon Castagna from Global Financial Services AWS, Eric Fender, David A. Lane, Cody Barry, Ruthvika Kosuri, Deepthi Meher, Trinity Wells, Fred Schuck, Ayisha R., Britton Frampton, and Riona Adela,  for their invaluable mentorship and unwavering support throughout the entire learning program. Your insights and encouragement played a pivotal role in shaping our experience and fostering our growth.“¸ Check out the amazing moments captured during the event, and be sure to tag Truist, UNC Charlotte, and our esteemed partners in your posts. Let's continue the conversation and celebrate our shared journey of innovation and learning!‘‰ Connect with me on LinkedIn to stay updated on future collaborations and opportunities. And don't forget to share your thoughts and experiences from the event in the comments below!#TruistImmersiveLearning #UNCCharlotte #Innovation #Collaboration #FutureLeaders #truist #AWS #WICKET #verizon",Innovation,events/podiums/conferences,"Personal/Public Pictures,webinar/webcast/event",,Michael,Senuta,Truist,Banking,Head of Innovation and Partnerships at Truist,94,11,0,1mo,,,,Michael Senuta likes this,Likes,,2024-04-01 10:39,4/1/2024,Monday,Monday,10:39 AM,,,,,,,,,checked,,105,Engagement,10am-11am,April 2024,
https://www.linkedin.com/in/jennes-zhang/,https://www.linkedin.com/in/jennes-zhang/,2024-04-24 15:53,https://www.linkedin.com/feed/update/urn:li:activity:7180965595566284800,https://media.licdn.com/dms/image/sync/D4D27AQHtDrUuKwt50g/articleshare-shrink_800/0/1712070095641?e=1714579200&v=beta&t=hxHsQUWvbY6b1PibIbESrrFrXFysxwJPvOcxHVZ6vtY,Article,"The best way to manage disruption is to lead it. At Procter & Gamble, we drive innovation forward by deeply understanding our consumers' needs. This approach ultimately benefits all our stakeholders and drives growth. Our #innovation, retailer partnerships and resilient supply chain were front and center at Shoptalk 2024. Read about my conversation with Yahoo! Finance Editor Brian Sozzi at the P&G blog:","Customer Centricity,Innovation",,article/blog/company website/press release,,Jennes,Zhang,Archer Daniels Midland,Consumer & Industrial Products,Vice President Technology Operations,587,6,11,3w,,,https://us.pg.com/blogs/shailesh-jejurikar-at-shoptalk-2024/,Jennes Zhang likes this,Likes,,2024-04-02 16:33,4/2/2024,Tuesday,Tuesday,4:33 PM,,,,,,,,,checked,,604,Engagement,4pm-5pm,April 2024,
https://www.linkedin.com/in/jeff-mcmillan-bb8b0a5/,https://www.linkedin.com/in/jeff-mcmillan-bb8b0a5/,2024-04-24 15:20,https://www.linkedin.com/feed/update/urn:li:activity:7181041602067320833,https://media.licdn.com/dms/image/sync/D5610AQH1mPO3oCavZw/image-shrink_800/0/1712090748994?e=1714579200&v=beta&t=uoDITopNdfvNCxKHD_jM00Hl4ld_dheNeNuDCQ1niMA,Article,"Proud to work for a firm like Morgan Stanley, where innovation is celebrated. Through Morgan Stanley Wealth Management's Private Markets Transaction Desk, eligible clients can now buy and sell shares of eligible private companies. Learn more about how to gain access to a distinct array of private market opportunities.","Product Development,Innovation",,article/blog/company website/press release,,Jeff,McMillan,Morgan Stanley,Banking,Head of AI,74,0,1,3w,,,https://livesocial.seismic.com/l79kUC,Jeff McMillan likes this,Likes,,2024-04-02 21:35,4/2/2024,Tuesday,Tuesday,9:35 PM,,,,,,,,,checked,,75,Engagement,9pm-10pm,April 2024,
https://www.linkedin.com/in/muratgen/,https://www.linkedin.com/in/muratgen/,2024-04-24 16:50,https://www.linkedin.com/feed/update/urn:li:activity:7181311990668087296,,Text,"Super excited to share that my Product Management scope expanded to include both Cloud Composer and Dataplex! Looking forward to driving innovation across data management and governance, as well as working with a fantastic Dataplex team. #productmanagement #dataplex #googlecloud #cloudcomposer #datagovernance","Innovation,Product Development,AI/Machine Learning",Responsible AI,post,,Murat,Genc,Whirlpool,Consumer & Industrial Products,"
Global Technology, Data & Digital Officer",139,14,0,3w,,,,Murat Genc likes this,Likes,,2024-04-03 15:30,4/3/2024,Wednesday,Wednesday,3:30 PM,,,,,,,,,checked,,153,Engagement,3pm-4pm,April 2024,
